"Buen día. Estimado(a) Dr.(a) Según imagen relacionada aparentemente no se observa pérdida de tejido, ni proceso de caries activa, se sugiere tratamiento preventivo y seguimiento periódico.",NO SE EVIDENCIA CARIES
"Buen día. Estimado(a) Dr.(a) Según la imagen relacionada aparentemente no se evidencia caries diente 22MV, se sugiere ingresar nueva imagen. Gracias!",NO SE EVIDENCIA CARIES
"Buen día. Estimado(a) Dr.(a)  Según imagen relacionada aparentemente no se evidencia caries en molar 36 OD, se sugiere tratamiento preventivo",NO SE EVIDENCIA CARIES
"Buen día. Estimado(a) Dr.(a) Según imagen relacionada aparentemente no se evidencia caries en premolar 35 O, se evidencia tejido sano, se sugiere tratamiento preventivo",NO SE EVIDENCIA CARIES
Buen día. Estimado(a) Dr.(a) Según imagen relacionada aparentemente no se evidencia lesión cervical  diente 34V.,NO SE EVIDENCIA LESION CERVICAL
"Buen día. Estimado(a) Dr.(a)  Según imagen relacionada aparentemente no se evidencia lesión cervical  diente 34V, se sugiere ingresar nueva imagen.  Gracias!",NO SE EVIDENCIA LESION CERVICAL
"Buen día. Estimado(a) Dr.(a) Según imagen relacionada aparentemente no se evidencia lesión Cervical del diente 11, se evidencia caries en supericie vestibular. ",NO SE EVIDENCIA LESION CERVICAL
"Buen día. Estimado(a) Dr.(a) Según imagen relacionada aparentemente no se evidencia lesión cervical , corresponde a retracción gingival",NO SE EVIDENCIA LESION CERVICAL
"Buen día. Estimado(a) Dr.(a) Según imagen relacionada se observa lesión cariosa diente 22DP NO MP, se solicita ingresar con las superficies indicadas, recuerde relacionar imagen para la autorización. Gracias!",CAMBIO DE SUPERFICIE 
"Buen día. Estimado(a) Dr.(a) Según imagen relacionada se observa lesión cariosa diente 11 MP, se solciita ingresar con las superficies indicadas",CAMBIO DE SUPERFICIE 
"Buen día. Estimado(a) Dr.(a) Según imagen relacionada se observa lesión cariosa premolar 34 MO, se solciita ingresar con las superficies indicadas",CAMBIO DE SUPERFICIE 
"Buen día. Estimado(a) Dr.(a) Según imagen relacionada se observa lesión cariosa molar 36 P, por favor cambiar superficies.",CAMBIO DE SUPERFICIE 
"Buen día. Estimado(a) Dr.(a) Se solicita información exodoncia diente 17, pieza aparentemente rehabilitable. Gracias!",SOLICITUD DE INFORMACION 
Buen día. Estimado(a) Dr.(a) Se solicita información recubrimiento pulpar indirecto no se observa caries extensa. Gracias! ,SOLICITUD DE INFORMACION 
"Buen día. Estimado(a) Dr.(a) Se solicita información sellante diente 25 no se observa surco profundo y/o retentivo, diente previamente erupcionado el cual no presenta aparente riesgo de caries. Gracias!",SOLICITUD DE INFORMACION 
"Buen día. Estimado(a) Dr.(a) Se solicita información colocacion sellante diente 45, según imagen relacionada  no se observa pertinencia de sellante la paciente presenta buena higiene oral, no tiene historia de caries ya que no se observan restauraciones, no se evidencian surcos profundos ni retentivos para sellar las superficies Gracias!",SOLICITUD DE INFORMACION 
"Buen día. Estimado(a) Dr.(a) Se solicita información, por favor ingresar consentimiento informado de tratamientos indicados no autorizados por el paciente. Gracias!",SOLICITUD DE INFORMACION 
Buen día. Estimado(a) Dr.(a). Se solicita relacionar imagen correcta para la verificación del procedimiento en este caso radiografía periapical diente 45. Gracias!,RELACION IMAGEN CORRECTA
"Buen día. Estimado(a) Dr.(a) Se solicita relacionar imagen correcta para la  verificación del procedimiento en este caso imagen clínica donde se observen superficie OD diente 24, al parecer la imagen corresponde a diente 25, favor revisar.  Gracias!",RELACION IMAGEN CORRECTA
"Buen día. Estimado(a) Dr.(a)  Favor para futuros casos relacionar solamente la imagen correcta al procedimiento, no relacionar todas las imágenes a un mismo procedimiento. Gracias!",RELACION IMAGEN CORRECTA
"Buen día. Estimado(a) Dr.(a) Se solicita relacionar imagen correcta para la verificación del procedimiento, donde se observe completamente el sextante 2. Gracias!",RELACION IMAGEN CORRECTA
"Buen día. Estimado(a) Dr.(a) Recuerde debe relacionar la imagen correcta a cada procedimiento para que el icono cambie de espera de imágenes a auditoria, para poder realizar la verificación de pertinencia. Gracias!",RELACION IMAGEN CORRECTA
"Buen día. Estimado(a) Dr. (a) Soporte deficiente, consentimiento informado incompleto, (falta número de documento paciente) Favor ingresar imagen y relacionar al procedimiento para autorización de pago.",SOPORTE DEFICIENTE
